row.ID,row.m.z,row.retention.time,X20240730_Ext_E31_24h_ddms30.mzML.Peak.area,X20240730_Ext_E31_MGO_24h_ddms30.mzML.Peak.area,Peakgroup_id,NonMGO.peak.area,MGO.peak.area,Peak_Area_Change,Label
4398,295.1901796,10.689031,175963.98,0,167,221803.757,0,221803.757,S
5002,295.1902924,13.049514,45839.777,0,167,221803.757,0,221803.757,S
5308,295.2266599,14.649517,906749.7,94479.71,168,2807439.4899999998,296534.799,2510904.6909999996,S
5267,295.2267323,14.464098,434544.66,39374.29,168,2807439.4899999998,296534.799,2510904.6909999996,S
5243,295.2267391,14.3855915,772771,90593.08,168,2807439.4899999998,296534.799,2510904.6909999996,S
3783,295.2267592,8.971785,216814.58,24668.477,168,2807439.4899999998,296534.799,2510904.6909999996,S
5232,295.2267646,14.276537,403311.2,47419.242,168,2807439.4899999998,296534.799,2510904.6909999996,S
4016,295.2268262,9.653147,73248.35,0,168,2807439.4899999998,296534.799,2510904.6909999996,S
872,296.1340615,1.6902337,109656.234,26626.766,169,109656.234,26626.766,83029.468,S
1036,297.0825723,1.9193006,0,405499.2,170,0,405499.2,405499.2,P
4836,297.2061305,12.174838,113602.97,0,171,113602.97,0,113602.97,S
4790,297.242434,11.978353,74868.65,0,172,219060.91999999998,26160.678,192900.24199999997,S
5385,297.2424398,15.135291,103887.95,26160.678,172,219060.91999999998,26160.678,192900.24199999997,S
4757,297.242646,11.851087,40304.32,0,172,219060.91999999998,26160.678,192900.24199999997,S
615,297.9630175,1.0878067,0,394894.06,173,0,394894.06,394894.06,P
1823,298.0922907,2.84328,168327.11,0,174,168327.11,0,168327.11,S
5107,299.0340347,13.569228,0,31020.303,175,0,31020.303,31020.303,P
4115,299.0913372,9.973108,71254.01,0,176,71254.01,0,71254.01,S
4994,299.2578463,13.012687,26552.414,0,177,124887.25,13618.546,111268.704,S
5216,299.258051,14.168616,98334.836,13618.546,177,124887.25,13618.546,111268.704,S
1463,300.1442097,2.3875234,97371.586,0,178,97371.586,0,97371.586,S
2210,300.2018223,3.5796962,67337.65,31913.63,179,67337.65,31913.63,35424.01999999999,S
3226,301.0706108,6.4370556,89030.875,0,180,440418.542,25353.512,415065.03,S
3827,301.0706157,9.099375,215809.06,25353.512,180,440418.542,25353.512,415065.03,S
3805,301.0706447,9.026495,87451.74,0,180,440418.542,25353.512,415065.03,S
3452,301.0706608,7.519833,48126.867,0,180,440418.542,25353.512,415065.03,S
617,301.9574871,1.0878067,0,374550.25,181,0,374550.25,374550.25,P
2997,303.0494226,5.4264402,3750954.2,725247.2,182,4176284.45,737850.7209999999,3438433.7290000003,S
2915,303.0496484,5.167359,186839.58,0,182,4176284.45,737850.7209999999,3438433.7290000003,S
3084,303.0498333,5.720377,238490.67,12603.521,182,4176284.45,737850.7209999999,3438433.7290000003,S
3866,303.2165103,9.207342,45155.652,4563.3145,183,45155.652,4563.3145,40592.3375,S
5017,304.2997307,13.109531,102574.42,0,184,102574.42,0,102574.42,S
714,305.1338315,1.3170304,312630.38,0,185,1674411.2799999998,688492.2,985919.0799999998,S
514,305.1339679,1.0013804,1361780.9,688492.2,185,1674411.2799999998,688492.2,985919.0799999998,S
4897,305.2110458,12.528621,44789.38,0,186,44789.38,0,44789.38,S
