row ID,row m/z,row retention time,20240730_Ext_E31_MGO_24h_ddms30.mzML Peak area,20240730_Ext_E31_24h_ddms30.mzML Peak area
5216,299.258051,14.168616,13618.546,98334.836
5223,380.2794539,14.234907,0,30131.305
5231,277.2162808,14.276537,11503.523,117095.55
5232,295.2267646,14.276537,47419.242,403311.2
5243,295.2267391,14.3855915,90593.08,772771
5246,326.2688285,14.390832,0,31466.336
5266,277.2162338,14.464098,10572.123,97130.51
5267,295.2267323,14.464098,39374.29,434544.66
5269,326.2686855,14.464098,11017.313,91481.586
5277,219.174262,14.509016,57664.797,56136.57
5279,284.3312234,14.515537,0,90598.04
5289,259.1904357,14.602484,37080.3,42073.34
5297,277.2161018,14.642155,0,167544.8
5308,295.2266599,14.649517,94479.71,906749.7
5309,326.2687217,14.649517,24921.479,214957.3
5315,611.2861253,14.649517,36131.707,273130.1
5325,364.2842222,14.671801,0,125921.49
5343,342.336525,14.756832,27990.371,53929.184
5349,624.4985751,14.828193,0,87381.34
5352,385.3785985,14.851593,56830.22,54771.074
5356,279.1591937,14.9197,0,24741.086
5364,369.3837589,14.963276,231358.25,227827.61
5367,350.2687162,14.981952,0,82522.3
5368,625.2653908,14.981952,0,70042.266
5372,336.3105324,15.008149,52875.062,75811.39
5379,279.1591388,15.041523,77418.09,90756.87
5385,297.2424398,15.135291,26160.678,103887.95
5391,279.2319285,15.19737,6217.3994,48325.605
5402,665.296409,15.253513,44411.426,0
